Comment,Designator,Footprint,LCSC
8MHz,Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
10uF,"C4,C5,C6,C7",C_1206_3216Metric,C13585
16MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
ATmega328P-A,U1,TQFP-32_7x7mm_P0.8mm,C14877
10k,"R2,R3,R6",R_0805_2012Metric,C17414
120,R1,R_0805_2012Metric,C17437
1k,"R5,R7",R_0805_2012Metric,C17513
22pF,"C10,C12,C13,C9",C_0805_2012Metric,C1804
1N4148WS,"D2,D4",D_SOD-323,C2128
LED,"D1,D5",LED_D3.0mm,C2297
0.1uF,"C1,C11,C2,C3,C8",C_0805_2012Metric,C49678
MAX31855KASA,U7,SOIC-8_3.9x4.9mm_P1.27mm,C52028
TJA1044T,U9,SOIC-8_3.9x4.9mm_P1.27mm,C520388
MCP2515-I,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C5250735
AMS1117-3.3,U5,SOT-223-3_TabPin2,C6186
AMS1117-5.0,U3,SOT-223-3_TabPin2,C6187
D_Schottky,D3,D_SOD-123,C8598
Jumper_2_Open,JP3,PinSocket_1x02_P2.54mm_Vertical,
Jumper_3_Open,JP2,PinSocket_1x03_P2.54mm_Vertical,
SolderJumper,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
39-30-1040,J2,MOLEX_39-30-1040,
PCC-SMP-V-K-5,J3,OMEGA_PCC-SMP-K-5,
AVR-ISP-6,J1,IDC-Header_2x03_P2.54mm_Vertical,
