Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,198.75,-63.5,-90.0,top
C2,0.1uF,C_0805_2012Metric,179.75,-67.25,-90.0,top
C3,0.1uF,C_0805_2012Metric,160.4,-80.2,-90.0,top
C4,10uF,C_1206_3216Metric,189.25,-81.525,90.0,top
C5,10uF,C_1206_3216Metric,198.75,-77.25,180.0,top
C6,10uF,C_1206_3216Metric,151.0,-85.25,0.0,top
C7,10uF,C_1206_3216Metric,154.0,-81.5,-90.0,top
C8,0.1uF,C_0805_2012Metric,164.2,-75.6,180.0,top
C9,22pF,C_0805_2012Metric,190.0,-71.75,-90.0,top
C10,22pF,C_0805_2012Metric,195.375,-74.6375,180.0,top
C11,0.1uF,C_0805_2012Metric,162.0,-55.5,180.0,top
C12,22pF,C_0805_2012Metric,161.0,-69.75,90.0,top
C13,22pF,C_0805_2012Metric,168.25,-69.75,-90.0,top
D1,LED,LED_D3.0mm,167.6,-65.47,270.0,bottom
D2,1N4148WS,D_SOD-323,163.25,-87.75,180.0,top
D3,D_Schottky,D_SOD-123,185.0,-83.0,180.0,top
D4,1N4148WS,D_SOD-323,165.5,-85.75,180.0,top
D5,LED,LED_0805_2012Metric,156.25,-69.75,-90.0,top
J1,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,179.29,-57.52,270.0,bottom
J2,39-30-1040,MOLEX_39-30-1040,183.4,-80.945,0.0,bottom
J3,PCC-SMP-V-K-5,OMEGA_PCC-SMP-K-5,164.0,-82.25,270.0,bottom
JP2,Jumper_3_Open,PinSocket_1x03_P2.54mm_Vertical,150.04,-74.5,90.0,bottom
JP3,Jumper_2_Open,PinSocket_1x02_P2.54mm_Vertical,149.02,-69.775,90.0,bottom
R1,120,R_0805_2012Metric,177.75,-70.8375,-90.0,top
R2,10k,R_0805_2012Metric,159.75,-87.75,0.0,top
R3,10k,R_0805_2012Metric,189.25,-63.25,-90.0,top
R5,1k,R_0805_2012Metric,162.0,-53.5,180.0,top
R6,10k,R_0805_2012Metric,161.75,-85.75,0.0,top
R7,1k,R_0805_2012Metric,158.5,-69.75,-90.0,top
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,161.05,-62.0,90.0,top
U2,MCP2515-I,TSSOP-20_4.4x6.5mm_P0.65mm,194.075,-65.6375,90.0,top
U3,AMS1117-5.0,SOT-223-3_TabPin2,197.0,-82.75,0.0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,147.75,-80.0,0.0,top
U7,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,164.2,-81.0,-90.0,top
U9,TJA1044T,SOIC-8_3.9x4.9mm_P1.27mm,183.5,-69.25,-90.0,top
Y2,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,194.675,-71.6375,180.0,top
Y3,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,165.0,-69.75,0.0,top
